OBJECTID,DC_DIST,SECTOR,DISPATCH_DATE_TIME,LOCATION_BLOCK,UCR_GENERAL,TEXT_GENERAL_CODE,DIV_NAME,PSA_NUM,UCR_CATEGORY,UCR_Type,DISPATCH_DATE_TIME_MS,HH,MM,SS,SSS,x,y
1290,24,2,4/5/2018 8:20:00 AM,3100 BLOCK CUSTER ST,500,Burglary Residential,EPD,242,Property Crime,Burglary,4/5/2018 8:20:02 AM,4,20,2,930,-75.1168,39.9956
1291,24,2,6/1/2018 2:27:00 PM,2000 BLOCK E ELKHART ST,500,Burglary Residential,EPD,242,Property Crime,Burglary,6/1/2018 2:27:02 PM,10,27,2,934,-75.1144,39.9915
1292,24,2,6/2/2018 2:04:00 PM,2000 BLOCK E ELKHART ST,500,Burglary Residential,EPD,242,Property Crime,Burglary,6/2/2018 2:04:02 PM,10,4,2,934,-75.1144,39.9915
1293,24,2,1/4/2018 7:53:00 AM,1800 BLOCK E MONMOUTH ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,1/4/2018 7:53:02 AM,2,53,2,935,-75.1197,39.993
1294,24,2,1/11/2018 6:54:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,1/11/2018 6:54:02 PM,13,54,2,937,-75.1132,39.9964
1295,24,2,5/4/2018 7:11:00 AM,500 BLOCK E INDIANA AVE,600,Thefts,EPD,242,Property Crime,Larceny,5/4/2018 7:11:02 AM,3,11,2,938,-75.1207,39.9942
1296,24,2,1/31/2018 6:06:00 PM,1800 BLOCK E ALLEGHENY AV,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,1/31/2018 6:06:02 PM,13,6,2,941,-75.1134,39.9965
1297,24,2,6/27/2018 6:17:00 PM,600 BLOCK E ALLEGHENY AVE,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,6/27/2018 6:17:02 PM,14,17,2,942,-75.1193,39.9972
1298,24,2,11/15/2018 6:18:00 PM,2800 BLOCK KENSINGTON AV,600,Thefts,EPD,242,Property Crime,Larceny,11/15/2018 6:18:02 PM,13,18,2,943,-75.1215,39.992
1299,24,2,11/13/2018 10:11:00 PM,700 BLOCK E CLEARFIELD ST,300,Robbery No Firearm,EPD,242,Violent Crime,Robbery,11/13/2018 10:11:02 PM,17,11,2,955,-75.1177,39.9954
1300,24,2,12/19/2018 11:12:00 PM,3000 BLOCK F ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,12/19/2018 11:12:02 PM,18,12,2,957,-75.1181,39.994
1301,24,2,12/21/2018 2:27:00 PM,3100 BLOCK E ST,600,Thefts,EPD,242,Property Crime,Larceny,12/21/2018 2:27:02 PM,9,27,2,959,-75.1195,39.9968
1302,24,2,5/5/2018 8:26:00 PM,600 BLOCK E ALLEGHENY AVE,500,Burglary Residential,EPD,242,Property Crime,Burglary,5/5/2018 8:26:02 PM,16,26,2,970,-75.1188,39.9971
1303,24,2,7/27/2018 5:59:00 PM,3000 BLOCK RORER ST,500,Burglary Residential,EPD,242,Property Crime,Burglary,7/27/2018 5:59:02 PM,13,59,2,972,-75.1207,39.9951
1304,24,2,8/23/2018 3:50:00 AM,3000 BLOCK D ST,600,Thefts,EPD,242,Property Crime,Larceny,8/23/2018 3:50:02 AM,23,50,2,976,-75.122,39.9945
1305,24,2,8/6/2018 2:38:00 PM,3100 BLOCK F ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,8/6/2018 2:38:02 PM,10,38,2,980,-75.1174,39.9965
1306,24,2,8/14/2018 8:04:00 AM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,242,Property Crime,Larceny,8/14/2018 8:04:02 AM,4,4,2,981,-75.1134,39.9965
1307,24,2,10/7/2018 2:45:00 AM,1800 BLOCK E WISHART ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,10/7/2018 2:45:02 AM,22,45,2,988,-75.114,39.9961
1308,24,2,10/13/2018 10:03:00 PM,2000 BLOCK E CLEMENTINE ST,500,Burglary Residential,EPD,242,Property Crime,Burglary,10/13/2018 10:03:02 PM,18,3,2,990,-75.1129,39.9928
1309,24,2,5/14/2018 12:03:00 PM,1800 BLOCK E LIPPINCOTT ST,700,Motor Vehicle Theft,EPD,242,Property Crime,MV Theft,5/14/2018 12:03:02 PM,8,3,2,990,-75.1142,39.9955
1310,24,2,7/6/2018 10:21:00 PM,500 BLOCK E ALLEGHENY AVE,300,Robbery No Firearm,EPD,242,Violent Crime,Robbery,7/6/2018 10:21:02 PM,18,21,2,990,-75.1212,39.9975
1311,24,2,4/9/2018 6:13:00 PM,3000 BLOCK HARTVILLE ST,400,Aggravated Assault Firearm,EPD,242,Violent Crime,Agg. Assault,4/9/2018 6:13:02 PM,14,13,2,993,-75.1204,39.9951
1312,24,2,6/23/2018 3:27:00 PM,3100 BLOCK FRANKFORD AV,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,6/23/2018 3:27:02 PM,11,27,2,994,-75.1128,39.9918
1313,24,2,8/11/2018 9:01:00 AM,2800 BLOCK KENSINGTON AVE,500,Burglary Non-Residential,EPD,242,Property Crime,Burglary,8/11/2018 9:01:02 AM,5,1,2,996,-75.121,39.9922
1314,24,2,8/8/2018 4:41:00 PM,3000 BLOCK F ST,600,Thefts,EPD,242,Property Crime,Larceny,8/8/2018 4:41:02 PM,12,41,2,997,-75.1181,39.994
1315,24,2,1/7/2018 2:51:00 PM,1800 BLOCK E MONMOUTH ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,1/7/2018 2:51:03 PM,9,51,3,0,-75.1197,39.993
1316,24,2,12/16/2018 9:59:00 AM,3000 BLOCK HARTVILLE ST,400,Aggravated Assault Firearm,EPD,242,Violent Crime,Agg. Assault,12/16/2018 9:59:03 AM,4,59,3,21,-75.1204,39.9948
1317,24,2,6/20/2018 1:05:00 AM,3100 BLOCK RORER ST,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,6/20/2018 1:05:03 AM,21,5,3,27,-75.1204,39.9964
1318,24,2,3/6/2018 1:31:00 AM,1900 BLOCK E CLEARFIELD ST 1,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,3/6/2018 1:31:03 AM,20,31,3,29,-75.1144,39.9937
1319,24,2,7/8/2018 8:14:00 PM,3100 BLOCK KENSINGTON AV,600,Thefts,EPD,242,Property Crime,Larceny,7/8/2018 8:14:03 PM,16,14,3,30,-75.1151,39.9954
1320,24,2,8/19/2018 2:09:00 AM,KENSINGTON AV / E ALLEGHENY AV,600,Thefts,EPD,241,Property Crime,Larceny,8/19/2018 2:09:03 AM,22,9,3,34,-75.1133,39.9965
1321,24,2,6/16/2018 11:11:00 PM,3000 BLOCK EMERALD ST,600,Thefts,EPD,242,Property Crime,Larceny,6/16/2018 11:11:03 PM,19,11,3,34,-75.1156,39.992
