OBJECTID,DC_DIST,SECTOR,DISPATCH_DATE_TIME,LOCATION_BLOCK,UCR_GENERAL,TEXT_GENERAL_CODE,DIV_NAME,PSA_NUM,UCR_CATEGORY,UCR_Type,DISPATCH_DATE_TIME_MS,HH,MM,SS,SSS,x,y
1,24,1,12/26/2017 11:05:00 AM,3200 BLOCK H ST,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,12/26/2017 11:05:47 AM,6,5,47,561,-75.1134,39.9966
2,24,1,6/28/2017 12:02:00 PM,3200 BLOCK H ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,6/28/2017 12:02:47 PM,8,2,47,627,-75.1134,39.9966
3,24,1,6/13/2017 2:14:00 PM,1800 BLOCK E ALLEGHENY AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,6/13/2017 2:14:47 PM,10,14,47,665,-75.1132,39.9964
4,24,1,12/6/2017 3:06:00 PM,1800 BLOCK E ALLEGHENY AV,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,12/6/2017 3:06:47 PM,10,6,47,700,-75.1133,39.9965
5,24,1,9/17/2017 7:25:00 PM,3200 BLOCK POTTER ST,500,Burglary Residential,EPD,241,Property Crime,Burglary,9/17/2017 7:25:47 PM,15,25,47,723,-75.1128,39.9974
6,24,1,12/19/2017 8:18:00 AM,800 BLOCK E WESTMORELAND ST,600,Thefts,EPD,241,Property Crime,Larceny,12/19/2017 8:18:47 AM,3,18,47,736,-75.1134,39.9982
7,24,1,11/7/2017 10:20:00 AM,1800 BLOCK E LIPPINCOTT ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,11/7/2017 10:20:47 AM,5,20,47,784,-75.1137,39.9951
8,24,1,11/4/2017 9:20:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,11/4/2017 9:20:47 PM,17,20,47,828,-75.1133,39.9965
9,24,1,6/10/2017 4:21:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,6/10/2017 4:21:47 PM,12,21,47,844,-75.1132,39.9964
10,24,1,4/13/2017 7:35:00 PM,800 BLOCK E ALLEGHENY AV,600,Thefts,EPD,241,Property Crime,Larceny,4/13/2017 7:35:47 PM,15,35,47,851,-75.115,39.9968
11,24,1,9/13/2017 1:12:00 PM,800 BLOCK E WESTMORELAND ST,400,Aggravated Assault Firearm,EPD,241,Violent Crime,Agg. Assault,9/13/2017 1:12:47 PM,9,12,47,852,-75.1143,39.9982
12,24,1,2/3/2017 3:23:00 AM,KENSINGTON AV / E ALLEGHENY AV,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,2/3/2017 3:23:47 AM,22,23,47,854,-75.1134,39.9965
13,24,1,3/22/2017 7:50:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,3/22/2017 7:50:47 PM,15,50,47,899,-75.1129,39.996
14,24,1,11/3/2017 5:49:00 PM,3200 BLOCK KENSINGTON AV,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,11/3/2017 5:49:47 PM,13,49,47,923,-75.1127,39.9969
15,24,1,7/24/2017 2:48:00 PM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,7/24/2017 2:48:47 PM,10,48,47,935,-75.1134,39.9966
16,24,1,5/5/2017 12:11:00 PM,800 BLOCK E WILLARD ST,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,5/5/2017 12:11:48 PM,8,11,48,1,-75.115,39.998
17,24,1,3/16/2017 11:56:00 AM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,3/16/2017 11:56:48 AM,7,56,48,20,-75.1133,39.9965
18,24,1,10/16/2017 7:52:00 PM,3200 BLOCK KENSINGTON AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,10/16/2017 7:52:48 PM,15,52,48,33,-75.1134,39.9966
19,24,1,12/4/2017 5:43:00 PM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,12/4/2017 5:43:48 PM,12,43,48,42,-75.1127,39.9968
20,24,1,4/18/2017 8:55:00 AM,800 BLOCK E HILTON ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,4/18/2017 8:55:48 AM,4,55,48,64,-75.1151,39.9972
21,24,1,7/7/2017 11:44:00 PM,3200 BLOCK KENSINGTON AVE,600,Thefts,EPD,241,Property Crime,Larceny,7/7/2017 11:44:48 PM,19,44,48,78,-75.1134,39.9966
22,24,1,12/15/2017 8:02:00 PM,3300 BLOCK G ST,400,Aggravated Assault Firearm,EPD,241,Violent Crime,Agg. Assault,12/15/2017 8:02:48 PM,15,2,48,95,-75.1151,39.9984
23,24,1,9/12/2017 2:54:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,9/12/2017 2:54:48 PM,10,54,48,109,-75.1132,39.9964
24,24,1,5/29/2017 12:23:00 PM,3200 BLOCK POTTER ST,600,Thefts,EPD,241,Property Crime,Larceny,5/29/2017 12:23:48 PM,8,23,48,145,-75.1131,39.9973
25,24,1,9/5/2017 5:31:00 PM,800 BLOCK E HILTON ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,9/5/2017 5:31:48 PM,13,31,48,150,-75.115,39.9972
26,24,1,9/28/2017 3:41:00 AM,800 BLOCK E HILTON ST,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,9/28/2017 3:41:48 AM,23,41,48,162,-75.1145,39.9971
27,24,1,9/23/2017 11:14:00 AM,800 BLOCK E MADISON ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,9/23/2017 11:14:48 AM,7,14,48,171,-75.1148,39.9976
28,24,1,10/29/2017 5:24:00 PM,1800 BLOCK E ALLEGHENY AV,600,Thefts,EPD,241,Property Crime,Larceny,10/29/2017 5:24:48 PM,13,24,48,191,-75.1128,39.9959
29,24,1,11/25/2017 8:47:00 PM,800 BLOCK E WILLARD ST,400,Aggravated Assault Firearm,EPD,241,Violent Crime,Agg. Assault,11/25/2017 8:47:48 PM,15,47,48,228,-75.114,39.9978
30,24,1,5/24/2017 3:22:00 AM,1800 BLOCK E ALLEGHENY AVE,400,Aggravated Assault Firearm,EPD,241,Violent Crime,Agg. Assault,5/24/2017 3:22:48 AM,23,22,48,255,-75.113,39.9961
31,24,1,3/3/2017 9:28:00 AM,3200 BLOCK H ST,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,3/3/2017 9:28:48 AM,4,28,48,273,-75.1132,39.9973
32,24,1,2/7/2017 6:05:00 PM,800 BLOCK E WESTMORELAND ST,500,Burglary Residential,EPD,241,Property Crime,Burglary,2/7/2017 6:05:48 PM,13,5,48,277,-75.1144,39.9982
33,24,1,8/28/2017 9:12:00 PM,800 BLOCK E WILLARD ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,8/28/2017 9:12:48 PM,17,12,48,306,-75.115,39.998
34,24,1,12/18/2017 6:10:00 PM,800 BLOCK E WESTMORELAND ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,12/18/2017 6:10:48 PM,13,10,48,308,-75.1151,39.9983
35,24,1,9/2/2017 1:01:00 PM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,9/2/2017 1:01:48 PM,9,1,48,377,-75.1131,39.9967
36,24,1,5/5/2017 6:56:00 PM,3200 BLOCK KENSINGTON AVE,600,Thefts,EPD,241,Property Crime,Larceny,5/5/2017 6:56:48 PM,14,56,48,396,-75.1126,39.997
37,24,1,1/25/2017 2:18:00 AM,800 BLOCK E WILLARD ST,600,Thefts,EPD,241,Property Crime,Larceny,1/25/2017 2:18:48 AM,21,18,48,448,-75.1152,39.9979
38,24,1,3/28/2017 12:50:00 AM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,3/28/2017 12:50:48 AM,20,50,48,475,-75.1132,39.9964
39,24,1,3/6/2017 12:09:00 PM,3100 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,3/6/2017 12:09:48 PM,7,9,48,508,-75.1158,39.9952
40,24,1,10/9/2017 1:45:00 PM,1800 BLOCK E ALLEGHENY AV,600,Thefts,EPD,241,Property Crime,Larceny,10/9/2017 1:45:48 PM,9,45,48,516,-75.1133,39.9965
41,24,1,1/7/2017 12:58:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,1/7/2017 12:58:48 PM,7,58,48,543,-75.1132,39.9964
42,24,1,4/14/2017 5:51:00 AM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,4/14/2017 5:51:48 AM,1,51,48,579,-75.1134,39.9966
43,24,1,7/21/2017 7:25:00 PM,3200 BLOCK KENSINGTON AV WESTMORELAND ST,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,7/21/2017 7:25:48 PM,15,25,48,588,-75.1134,39.9966
44,24,1,6/5/2017 6:29:00 AM,3200 BLOCK KENSINGTON AVE,600,Thefts,EPD,241,Property Crime,Larceny,6/5/2017 6:29:48 AM,2,29,48,605,-75.1134,39.9966
45,24,1,10/25/2017 12:30:00 AM,3200 BLOCK KENSINGTON AV,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,10/25/2017 12:30:48 AM,20,30,48,629,-75.1134,39.9966
46,24,1,8/6/2017 8:20:00 AM,800 BLOCK E HILTON ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,8/6/2017 8:20:48 AM,4,20,48,645,-75.115,39.9972
47,25,1,9/25/2017 10:25:00 AM,800 BLOCK E ALLEGHENY AV,600,Thefts,EPD,241,Property Crime,Larceny,9/25/2017 10:25:48 AM,6,25,48,656,-75.1154,39.9968
48,24,1,1/9/2017 2:37:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,1/9/2017 2:37:48 PM,9,37,48,665,-75.1132,39.9964
49,24,1,8/5/2017 1:30:00 AM,3200 BLOCK POTTER ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,8/5/2017 1:30:48 AM,21,30,48,711,-75.1127,39.9974
50,24,1,4/28/2017 5:01:00 AM,800 BLOCK E WILLARD ST,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,4/28/2017 5:01:48 AM,1,1,48,718,-75.1151,39.9979
51,24,1,9/2/2017 3:27:00 PM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,9/2/2017 3:27:48 PM,11,27,48,769,-75.1127,39.9968
52,24,1,4/24/2017 10:18:00 AM,3200 BLOCK G ST,700,Recovered Stolen Motor Vehicle,EPD,253,Property Crime,MV Theft,4/24/2017 10:18:48 AM,6,18,48,814,-75.1155,39.9968
53,24,1,4/14/2017 9:07:00 PM,800 BLOCK E WILLARD ST,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,4/14/2017 9:07:48 PM,17,7,48,847,-75.1151,39.9979
54,24,1,1/15/2017 12:32:00 PM,3200 BLOCK KENSINGTON AVE,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,1/15/2017 12:32:48 PM,7,32,48,879,-75.1134,39.9966
55,24,1,2/22/2017 8:17:00 PM,3200 BLOCK KENSINGTON AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,2/22/2017 8:17:48 PM,15,17,48,885,-75.1134,39.9966
56,24,1,9/22/2017 1:34:00 PM,800 BLOCK HILTON ST,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,9/22/2017 1:34:48 PM,9,34,48,913,-75.1153,39.9972
57,24,1,7/8/2017 11:36:00 AM,800 BLOCK E WILLARD ST,500,Burglary Residential,EPD,241,Property Crime,Burglary,7/8/2017 11:36:48 AM,7,36,48,914,-75.115,39.998
58,24,1,1/5/2017 11:02:00 AM,3300 BLOCK H ST,500,Burglary Residential,EPD,241,Property Crime,Burglary,1/5/2017 11:02:48 AM,6,2,48,946,-75.113,39.9981
59,24,1,7/24/2017 5:49:00 PM,3200 BLOCK POTTER ST,400,Aggravated Assault Firearm,EPD,241,Violent Crime,Agg. Assault,7/24/2017 5:49:48 PM,13,49,48,951,-75.1129,39.9973
60,24,1,9/9/2017 6:56:00 PM,800 BLOCK E WESTMORELAND ST,500,Burglary Residential,EPD,241,Property Crime,Burglary,9/9/2017 6:56:48 PM,14,56,48,952,-75.1145,39.9983
61,24,1,11/15/2017 2:21:00 AM,3200 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,11/15/2017 2:21:48 AM,21,21,48,960,-75.1126,39.997
62,24,1,2/12/2017 11:20:00 AM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,2/12/2017 11:20:48 AM,6,20,48,971,-75.1132,39.9964
63,24,1,9/21/2017 1:55:00 AM,3200 BLOCK H ST,300,Robbery Firearm,EPD,241,Violent Crime,Robbery,9/21/2017 1:55:49 AM,21,55,49,12,-75.1134,39.9966
64,24,1,8/31/2017 2:48:00 AM,3200 BLOCK H ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,8/31/2017 2:48:49 AM,22,48,49,18,-75.113,39.9979
65,24,1,7/24/2017 11:18:00 AM,800 BLOCK E ALLEGHENY AVE,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,7/24/2017 11:18:49 AM,7,18,49,22,-75.1151,39.9968
66,24,1,4/4/2017 12:16:00 PM,3200 BLOCK KENSINGTON AVE,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,4/4/2017 12:16:49 PM,8,16,49,24,-75.1134,39.9966
67,24,1,11/7/2017 2:37:00 AM,800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,11/7/2017 2:37:49 AM,21,37,49,28,-75.1145,39.9967
68,24,1,7/4/2017 11:58:00 AM,3200 BLOCK POTTER ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,7/4/2017 11:58:49 AM,7,58,49,85,-75.1126,39.9975
69,24,1,3/18/2017 8:08:00 PM,800 BLOCK E WILLARD ST,300,Robbery Firearm,EPD,241,Violent Crime,Robbery,3/18/2017 8:08:49 PM,16,8,49,96,-75.1152,39.9979
70,24,1,8/28/2017 8:21:00 PM,800 BLOCK E WILLARD ST,500,Burglary Residential,EPD,241,Property Crime,Burglary,8/28/2017 8:21:49 PM,16,21,49,97,-75.115,39.998
71,24,1,3/26/2017 9:27:00 AM,1800 BLOCK E ALLEGHENY AVE,300,Robbery Firearm,EPD,241,Violent Crime,Robbery,3/26/2017 9:27:49 AM,5,27,49,98,-75.1133,39.9965
72,24,1,5/8/2017 8:56:00 AM,3200 BLOCK KENSINGTON AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,5/8/2017 8:56:49 AM,4,56,49,199,-75.1134,39.9966
73,24,1,8/29/2017 8:29:00 PM,1800 BLOCK E ALLEGHENY AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,8/29/2017 8:29:49 PM,16,29,49,218,-75.1128,39.9959
74,24,1,2/7/2017 4:29:00 PM,3200 BLOCK KENSINGTON AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,2/7/2017 4:29:49 PM,11,29,49,242,-75.1134,39.9966
75,24,1,9/13/2017 1:51:00 PM,800 BLOCK E WESTMORELAND ST,400,Aggravated Assault Firearm,EPD,241,Violent Crime,Agg. Assault,9/13/2017 1:51:49 PM,9,51,49,256,-75.1143,39.9982
76,24,1,11/7/2017 2:01:00 PM,800 BLOCK E ALLEGHENY AVE,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,11/7/2017 2:01:49 PM,9,1,49,340,-75.1143,39.9967
77,24,1,4/24/2017 1:30:00 PM,1800 BLOCK E ALLEGHENY AV,600,Thefts,EPD,241,Property Crime,Larceny,4/24/2017 1:30:49 PM,9,30,49,390,-75.113,39.9961
78,24,1,8/26/2017 1:35:00 PM,3200 BLOCK POTTER ST,500,Burglary Residential,EPD,241,Property Crime,Burglary,8/26/2017 1:35:49 PM,9,35,49,393,-75.1128,39.9974
79,24,1,7/9/2017 3:28:00 PM,3200 BLOCK POTTER ST,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,7/9/2017 3:28:49 PM,11,28,49,396,-75.1128,39.9973
80,24,1,11/26/2017 1:10:00 PM,3300 BLOCK H ST,700,Motor Vehicle Theft,EPD,241,Property Crime,MV Theft,11/26/2017 1:10:49 PM,8,10,49,411,-75.113,39.9981
81,24,1,12/31/2017 12:43:00 PM,E 800 WILLARD STR,600,Thefts,EPD,241,Property Crime,Larceny,12/31/2017 12:43:49 PM,7,43,49,435,-75.1135,39.9977
82,24,1,8/29/2017 10:53:00 AM,3200 BLOCK H ST,600,Thefts,EPD,241,Property Crime,Larceny,8/29/2017 10:53:49 AM,6,53,49,441,-75.1129,39.998
83,24,1,1/25/2017 11:00:00 AM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,1/25/2017 11:00:49 AM,6,0,49,481,-75.1125,39.997
84,24,1,7/16/2017 11:11:00 PM,3200 BLOCK KENSINGTON AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,7/16/2017 11:11:49 PM,19,11,49,492,-75.1126,39.997
85,24,1,3/4/2017 11:06:00 AM,800 BLOCK E ALLEGHENY AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,3/4/2017 11:06:49 AM,6,6,49,513,-75.114,39.9966
86,24,1,4/4/2017 10:31:00 PM,3200 BLOCK KENSINGTON AVE,600,Thefts,EPD,241,Property Crime,Larceny,4/4/2017 10:31:49 PM,18,31,49,513,-75.1134,39.9966
87,24,1,9/3/2017 7:40:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,9/3/2017 7:40:49 PM,15,40,49,535,-75.1132,39.9964
88,24,1,3/9/2017 1:39:00 AM,3200 BLOCK POTTER ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,3/9/2017 1:39:49 AM,20,39,49,577,-75.1127,39.9975
89,24,1,6/8/2017 10:33:00 AM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,6/8/2017 10:33:49 AM,6,33,49,589,-75.1132,39.9964
90,24,1,9/13/2017 1:51:00 PM,800 BLOCK E WESTMORELAND ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,9/13/2017 1:51:49 PM,9,51,49,616,-75.1143,39.9982
91,24,1,8/11/2017 9:17:00 PM,800 BLOCK E ALLEGHENY AVE,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,8/11/2017 9:17:49 PM,17,17,49,623,-75.1138,39.9965
92,24,1,11/29/2017 5:12:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,11/29/2017 5:12:49 PM,12,12,49,623,-75.1133,39.9965
93,24,1,5/31/2017 9:46:00 AM,800 BLOCK E ALLEGHENY AVE,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,5/31/2017 9:46:49 AM,5,46,49,652,-75.1148,39.9967
94,24,1,1/12/2017 6:12:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,1/12/2017 6:12:49 PM,13,12,49,707,-75.1132,39.9964
95,24,1,12/15/2017 12:58:00 PM,800 BLOCK E WILLARD ST,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,12/15/2017 12:58:49 PM,7,58,49,710,-75.1152,39.9979
96,24,1,4/2/2017 12:20:00 AM,800 BLOCK E WESTMORELAND ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,4/2/2017 12:20:49 AM,20,20,49,717,-75.1146,39.9983
97,24,1,2/23/2017 11:02:00 AM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,2/23/2017 11:02:49 AM,6,2,49,727,-75.1132,39.9964
98,24,1,2/1/2017 5:14:00 PM,800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,2/1/2017 5:14:49 PM,12,14,49,757,-75.115,39.9968
99,24,1,8/6/2017 8:41:00 PM,3200 BLOCK G ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,8/6/2017 8:41:49 PM,16,41,49,778,-75.1154,39.9968
100,24,1,8/11/2017 6:15:00 PM,3200 BLOCK KENSINGTON AV,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,8/11/2017 6:15:49 PM,14,15,49,781,-75.1134,39.9966
101,24,1,11/7/2018 10:20:00 AM,1800 BLOCK E LIPPINCOTT ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,11/7/2018 10:20:49 AM,5,20,49,843,-75.1137,39.9951
102,24,1,1/5/2017 10:40:00 AM,800 BLOCK E ALLEGHENY AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,1/5/2017 10:40:49 AM,5,40,49,889,-75.1138,39.9966
103,24,1,2/28/2017 1:47:00 PM,3200 BLOCK KENSINGTON AVE,600,Thefts,EPD,241,Property Crime,Larceny,2/28/2017 1:47:49 PM,8,47,49,900,-75.1134,39.9966
104,24,1,9/2/2018 1:01:00 PM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,9/2/2018 1:01:49 PM,9,1,49,959,-75.1131,39.9967
105,24,1,12/6/2018 3:06:00 PM,1800 BLOCK E ALLEGHENY AV,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,12/6/2018 3:06:49 PM,10,6,49,978,-75.1133,39.9965
106,24,1,12/19/2018 8:18:00 AM,800 BLOCK E WESTMORELAND ST,600,Thefts,EPD,241,Property Crime,Larceny,12/19/2018 8:18:50 AM,3,18,50,16,-75.1134,39.9982
107,24,1,4/13/2018 7:35:00 PM,800 BLOCK E ALLEGHENY AV,600,Thefts,EPD,241,Property Crime,Larceny,4/13/2018 7:35:50 PM,15,35,50,26,-75.115,39.9968
108,24,1,12/26/2018 11:05:00 AM,3200 BLOCK H ST,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,12/26/2018 11:05:50 AM,6,5,50,45,-75.1134,39.9966
109,24,1,9/17/2018 7:25:00 PM,3200 BLOCK POTTER ST,500,Burglary Residential,EPD,241,Property Crime,Burglary,9/17/2018 7:25:50 PM,15,25,50,56,-75.1128,39.9974
110,24,1,6/28/2018 12:02:00 PM,3200 BLOCK H ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,6/28/2018 12:02:50 PM,8,2,50,134,-75.1134,39.9966
111,24,1,7/24/2018 2:48:00 PM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,7/24/2018 2:48:50 PM,10,48,50,168,-75.1134,39.9966
112,24,1,12/4/2018 5:43:00 PM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,12/4/2018 5:43:50 PM,12,43,50,185,-75.1127,39.9968
113,24,1,6/13/2018 2:14:00 PM,1800 BLOCK E ALLEGHENY AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,6/13/2018 2:14:50 PM,10,14,50,205,-75.1132,39.9964
114,24,1,9/13/2018 1:12:00 PM,800 BLOCK E WESTMORELAND ST,400,Aggravated Assault Firearm,EPD,241,Violent Crime,Agg. Assault,9/13/2018 1:12:50 PM,9,12,50,216,-75.1143,39.9982
115,24,1,2/3/2018 3:23:00 AM,KENSINGTON AV / E ALLEGHENY AV,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,2/3/2018 3:23:50 AM,22,23,50,224,-75.1134,39.9965
116,24,1,11/4/2018 9:20:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,11/4/2018 9:20:50 PM,16,20,50,227,-75.1133,39.9965
117,24,1,3/22/2018 7:50:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,3/22/2018 7:50:50 PM,15,50,50,268,-75.1129,39.996
118,24,1,6/10/2018 4:21:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,6/10/2018 4:21:50 PM,12,21,50,268,-75.1132,39.9964
119,24,1,5/5/2018 12:11:00 PM,800 BLOCK E WILLARD ST,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,5/5/2018 12:11:50 PM,8,11,50,276,-75.115,39.998
120,24,1,4/18/2018 8:55:00 AM,800 BLOCK E HILTON ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,4/18/2018 8:55:50 AM,4,55,50,284,-75.1151,39.9972
121,24,1,3/16/2018 11:56:00 AM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,3/16/2018 11:56:50 AM,7,56,50,327,-75.1133,39.9965
122,24,1,3/3/2018 9:28:00 AM,3200 BLOCK H ST,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,3/3/2018 9:28:50 AM,4,28,50,402,-75.1132,39.9973
123,24,1,7/7/2018 11:44:00 PM,3200 BLOCK KENSINGTON AVE,600,Thefts,EPD,241,Property Crime,Larceny,7/7/2018 11:44:50 PM,19,44,50,406,-75.1134,39.9966
124,24,1,5/5/2018 6:56:00 PM,3200 BLOCK KENSINGTON AVE,600,Thefts,EPD,241,Property Crime,Larceny,5/5/2018 6:56:50 PM,14,56,50,433,-75.1126,39.997
125,24,1,8/28/2018 9:12:00 PM,800 BLOCK E WILLARD ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,8/28/2018 9:12:50 PM,17,12,50,442,-75.115,39.998
126,24,1,3/6/2018 12:09:00 PM,3100 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,3/6/2018 12:09:50 PM,7,9,50,454,-75.1158,39.9952
127,24,1,9/12/2018 2:54:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,9/12/2018 2:54:50 PM,10,54,50,465,-75.1132,39.9964
128,24,1,11/3/2018 5:49:00 PM,3200 BLOCK KENSINGTON AV,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,11/3/2018 5:49:50 PM,13,49,50,502,-75.1127,39.9969
129,24,1,12/15/2018 8:02:00 PM,3300 BLOCK G ST,400,Aggravated Assault Firearm,EPD,241,Violent Crime,Agg. Assault,12/15/2018 8:02:50 PM,15,2,50,511,-75.1151,39.9984
130,24,1,5/29/2018 12:23:00 PM,3200 BLOCK POTTER ST,600,Thefts,EPD,241,Property Crime,Larceny,5/29/2018 12:23:50 PM,8,23,50,516,-75.1131,39.9973
131,24,1,9/5/2018 5:31:00 PM,800 BLOCK E HILTON ST,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,9/5/2018 5:31:50 PM,13,31,50,520,-75.115,39.9972
132,24,1,12/18/2018 6:10:00 PM,800 BLOCK E WESTMORELAND ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,12/18/2018 6:10:50 PM,13,10,50,551,-75.1151,39.9983
133,24,1,9/28/2018 3:41:00 AM,800 BLOCK E HILTON ST,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,9/28/2018 3:41:50 AM,23,41,50,554,-75.1145,39.9971
